,crowd,text
531,1,"""""striking out through his intolerance and ignorance.""""  Maybe. We don't know that. He was a university student of anthropology and political science, so in all likelyhood not that """"ignorant""""...
"
549,1,"I don't defend any """"violent imbeciles.""""  quite the contrary.  Are you suggesting that the White Supremicists/White Nationalists should be """"allowed"""" to march and protest for white supremacy without anyone counter-protesting?  If, indeed, the """"battle has already been won"""", could you please tell the white supremacists/white nationalists and ask them to quit working for their goals of racial supremacy.  BTW: You ascribe the responsibility for violence to the """"counter-protesters"""".......The most specific act of extreme violence was the driving of a car into the crowd of """"counter-protesters.""""  Since many in that crowd were black (I'm guessing not many of the white supremacists/white nationalists were black), there's little doubt which """"side"""" was guilty of the violence which caused serious injury and death.  Gary Crum
"
567,1,"What a ridiculous article. Trump had a scorched earth mentality? That better describes Hillary. Even Bill said she lost because she spent all of her energies in personal attacks on Trump and his supporters instead of focusing on issues that mattered to Americans. Securing our borders, fostering an economy that promotes business and jobs, and rebuilding our image overseas. Wow, what hateful, xenophobic brownshirts. This is the rhetoric that cost Hillary, the most flawed 2 time loser in presidential history, the election.
"
590,1,"Ridiculous. If you're going to make an argument against a national popular vote, at least make sense. Comparing state vs national laws and regs is apples and oranges.
"
591,1,"""""Consciousness to the fact that they are going to have to hurt or kill a lot of people if they want to maintain societal dominance."""" ~ ~ ~ How blatantly silly..  /..
"
597,1,"Why indeed. The whole thing is asinine. Like JT.
"
599,1,"Disgusting. I hope they catch the jerks and don't take a plea! Charge them the full $10,000/each moose.
"
605,1,"Oh so Oklahoma City was the government's fault? Lol! When Muslims commit terrorism they're terrorists. When Christians commit terrorism they're mentally ill. You're a joke.
"
606,1,"GO TRUMP GO TRUMP GO TRUMP SCREW THE DEMOCRATES
"
608,1,"Not true Dimps. Any fool that was disrespectful was duly notified and brought to the attention of the moderators by me. Many were deleted by the commentator and moderators. I was an arch enemy but sent my condolences to Renata and the kids. Many other 'elitist progressives' did the same.  Nice try though.
"
637,1,"Trudeau lacks decency and moral capacity. Unbelievable. I feel revulsion for him and his government  to do such a thing.
"
649,1,"We are extremely lucky that Kim Jong Un is not Muslim. So the chance he will blow himself up  (by attacking Hawaii) is very small.
"
651,1,"With all the really bad stuff going on in this country this is what we are focusing on? Crazy!
"
671,1,"Your hypocrisy is showing too.
"
682,1,"A woman would not be yucky. Here is a list of just a few, who also are not white supremacists, that are far superior to Clinton: Carly Fiorina, Nikki Haley, Condoleeza Rice, Sarah Palin, Michelle Bachmann, Jan Brewer ... If you can't tolerate them we must assume of you, as you do of others, that you hate women.
"
683,1,"Silly comment. The Scouts are losing numbers and hence, losing money. That is why they have changed the rules to include girls.
"
686,1,"That cucumber looks like enough to satisfy even Bristol Palin...
"
694,1,"I hate our political class. I hate them. I loathe them. Why is it that the one certainty I can have about any new policy or legislation is that it will serve somebody's interest other than those who actually pay the bill? What is so hard to get about serving the interests of the citizens of the country you are elected to serve? Why are my interests not only not an afterthought, but of no consequence at all? Who are these people, and who are we that we haven't descended on Washington with pitchforks and driven the lot of them out of the country? Revolutions have been fought for less. Hell, OUR revolution was fought for less. Where are our balls?  """"...all enemies foreign and domestic..."""" indeed.
"
700,1,"Islam is a legitimate issue for discussion.  But that doesn’t change the fact that Trump is a dangerously unqualified pathological liar and hypocrite with a glaring personality disorder.  He is utterly unable to meet the challenges of the office.
"
724,1,"Get a damn rope
"
736,1,"Never uttered or wrote that crap. You're a liar stuck in a pig fight with yourself. Don't forget the lipstick.
"
752,1,"I didn't know that the UO awarded degrees in stupidity. How wonderful. Looks like the RG staff  are all graduates.
"
754,1,"I have not even read the article simply due to the fact that Chin's got a sh*t eating grin on his face. He needs a good slap. Please somebody slap his silly face!
"
765,1,"kids don't have trouble getting pot. when my ******* were in school not only could they get pot there but coke and pills too.
"
786,1,"You just liked your own comment which is a sure sign of psychosis.
"
793,1,"Rump Trump or Roman Romney.  Both or either is asking for America to collapse. Both are self-righteous, rich, arrogant bigots that want to put White House on business cards.  Trump is an idiot on everything except being a corporate raider and bankruptcy king. Romney thinks he is a god. If Prevo and dembimbo votes for Trump, then I know I will not vote Republican ever again! As for Clinton, she has a serious case of terminal menopause. What a serious case of party line stupid. This is the best America can do with these morons on both sides? America and Alaska is so doomed. Grab your ankles cause the nation is facing more chaos and forever the loss of the American Dream millions worked and saved for. American Dream, Democracy? Modern ponze scam pulled on the majority and the top minority got rich off the working middle class.
"
801,1,"And the same can be said of you the left!  “In politics, stupidity is not a handicap.” ― Napoléon Bonaparte
"
810,1,"I got your insult before it was deleted, when a person like you insults me, I take assurance I am doing the right thing, carry on dude - Enjoy those brain cells while you still have them.
"
821,1,"Disgusting. How do these people sleep at night?
"
823,1,"Obama was elected by a big majority and was a highly popular president among the majority. Obama is an objectively admirable person who acts through his Christian morality. tRump appeals to a shrinking minority and it baffles me how people who are probably not horrible people, like tRump is and has always been, support him.  I don't agree that most of his supporters are deplorable so that I wonder how you can look past his immorality, racism, constant lying, blaming, inflaming hate, division and incompetence. He is an embarrassment to our country.  You seem like a good person, Como, so why do you insist on looking the other way from the truth of who tRump really is and unfairly (and stupidly) vilifying Obama or Hillary.
"
841,1,"Outsider77:   Yes, this is all a recipe for disaster.  As I have stated zillions of times before, there are Lotsa people out there that have more MONEY, than BRAINS....................... What does USA stand for?   UNIVERSAL STUPIDITY ALLOWED...................
"
843,1,"""""What's a dotard?"""" Sounds like he had his writers using a Korean/English dictionary.......
"
879,1,"if you voted for her you can explain to your children and grand children that you were in part responsible for their status as tax slaves. You and your ilk are pathetic.  if you did a little reading before you voted last time you would have known her policies were disasterous.  You are an ignorant fool.
"
902,1,"Purple Heart parent? All but forgotten in the blizzard of moronic hyperbole. Who knew that the final straw for Trump, would be attacking football. Wait for the post game analysis. It's going to be YUGE!
"
905,1,"It is all fake news!  If you hadn't heard, there is no truth to the professed interference by the WH in any FBI investigation.  Someone is putting out all of this unverified information to create havoc and it seems to be working for the lefties are jumping through their butts and eating up all of the BS.  Have at it and enjoy the special of the day.  Idiots and naysayers, all nonproductive and waste of paper and print.  Money making project for the MSM and their left sloped groupies.  All the psychs need to examine their own minds before making any analysis of the POTUS mental condition.  The smell of the stench coming from the left is totally unbearable and putrid as usual.  When will will they ever learn to take the loss and move on like adults instead of acting like a bunch of over privileged lids with their hands out.   Need to get the belt out!   Maybe that will work?
"
937,1,"Sounds like a couple of government stooges are crying that the citizens are standing up for themselves. Blocking signatures you should arrest yourself and your overlord, disgusting. Using fear and scare tactics you are exactly what we need to get rid of. The power comes from the people, undeblivable you could logically argue that the assembly could possible be usurped by the populace.
"
946,1,"I didn't mention Lewinsky, Kon(corned) because the overwhelming American voters made it a moot point and gave Clinton the highest favorable rating in presidential history.  The American voters thumbed their noses at the Republicans' scathing hypocrisy.  LOL
"
967,1,"What makes you sure he loved his wife? Just curious, what in the story would lead you to believe that? certainly not the part that he blew her head off i hope.
"
969,1,"There are no boundaries for ignorant Greenies on patrol. I do hope however that this turns out to be the result of natural events. Dr. Nightingale needs out fullest support.
"
1004,1,"Conservatives who call out white supremacists, bigots, and traitors aren't """"The Left"""".
"
1029,1,"Darn, what a loss
"
1035,1,"Fine, as I am prepared to respond regarding why she lost her party's nomination to the first black president. That's it. Read it. She lost to the first black president. So we were looking to have either the first woman or first black president but not both and not both at the same time. Obama is and was awesome. So she had competition. You and your ilk make it sound like she lost to Mickey Mouse. Mike Tyson lost a couple of professional fights. Are you suggesting that because he lost he sucks and you could have beat him? There is no shame in losing to Obama. And there's no shame in losing to Trump, when one considers that most people are simpletons and he got the simpleton vote.
"
1055,1,"Hey Scott, you didn't """"strike a nerve."""" You made an incredibly dumb proposition and received the appropriate backlash for proposing something so stupid.  1) The revenues from your proposal wouldn't even be enough to cover the costs of administering it, so you'd cost the taxpayers more rather than enhance road/highway funding.  2) Nearly all cyclists also have vehicles, so they pay the same taxes as everyone else. Your proposal is stupidly punitive, singling out a group whose actions benefit our society and automobile drivers.  3) Colorado's image as an outdoor recreation Mecca, which includes being a cycling friendly state, is a huge economic draw. It's one of the reasons we won the outdoor retailer show away from Utah. Your idiotic proposal is counter-productive to the development of Colorado's outdoor-based economy.  That you were shocked by the backlash only further demonstrates how ignorant and out of touch you are.
"
1058,1,"Too confrontational? Saying you're going to bomb us and making vids of sinking our ships and nuking our Capitol aren't confrontational? You progs are insane,
"
1063,1,"Kellyanne, you need to take the white hair guy fired from CNN and your horrible attitude towards others that don't agree with you and crawl back under the rock and stay there!
"
1064,1,"They do it because they are ignorant and cannot speak thoughtfully about real political issues.  When all else fails...lob a scud.
"
1073,1,"By ancestors of slaves in my comment above, I meant to type offspring. Of course most slaves also had slave ancestors, and most slaves had slave offspring. That is the nightmare of inter-generational slavery. At one point in history, I forget the date, it was estimated that a slave could look 7 generations back and find slave ancestors and with the benefit of a crystal ball, would be able to see 7 generations forward that would also be slaves. No other demographic in America or modern history has been subject to that unspeakable tyranny and inhumanity.  But it didn't end with slavery. Slaves also had """"free"""" offspring and subsequent descendants who were subject to over a century and a half of anti-black discrimination, marginalization, exclusion, and terrorism.  Enough celebration of white supremacy and tyranny. Let's stop erasing descendants of slaves to prop up descendants of white supremacists.
"
1113,1,"McCain answers to whom? Not the public.  He is a coward, a liar and the worst kind of scoundrel .... Nixon should have never given him a pardon.
"
1120,1,"You still don't get it, do you? They didn't even have to fire a shot. All they did was display their guns and the coward shooter turned around and left. I wonder how much longer he would have stayed there shooting people were it not for others able to confront him.
"
1150,1,"I realize far right wacko don't care because it is ok if you are republican.  You can lie all you want and its ok if you are republican.  Well I don't accept this hypocrisy and will call this liar out everry chance I get.  So Dragon, how are you enoying your new job building the wall?  Isn't the new health care plan simply wonderful?  lol  Keep enjoying the do nothing president.  He is good for a few laughs.
"
1160,1,"Why do you presume that I """"don't like"""" certain teachings? Do you deny that there are differing levels of magisterial teaching? Do you claim that the teachings you cite are most certainly NOT dogmatic? I say """"these {teachings} aren't dogmatic"""" because, in point of fact, they aren't dogmatic. Talk about """"cafeteria Catholicism"""". Your hypocrisy is stagerring.
"
1166,1,"i can't watch Alaska state troopers, can't stand seeing them act like judge jury and executioners, the way they scream """"Alaska state troopers"""" all the time makes me laugh , as if them screaming at the top of their lungs is going to scare or intimidate anyone. they are a bunch or pompous assholes who sneer at everyone and act like everyone they meet is a criminal. take the show off the air already.
"
1174,1,"As you obviously failed to observe, I was speaking in a *general way* about the role of the police in the sadistic American state which is why it is perfectly reasonable to mention the virulent racism exhibited by a great many police officers in American society. On a related note, the use of terminology like """"bringing up the race card"""" makes you look like an idiot as that is just the kind of thing that racists say. I have no """"card"""" and racism is now and has been the most prevalent injustice in American society so it's almost always relevant in one way or another. Get used to people bringing it up as it isn't going any time soon. Here's a reminder for you: I don't need your reminders. On the subject of marijuana, it is a plant and I support the right of anyone to grow it and sell it to any adult. I'm happy to hear it's being sold illegally on the street. I only lament that people are being arrested for it.
"
1199,1,"pete, you don't need to give up and I don't want to win.  I do want you to quit putting words in my mouth, which you do on almost any topic we discuss.  You are the one who insists, why, I don't know, something about Mitt Romney that I'm not even aware of, that uninformed means stupid.  You can say that all you want, for yourself.  Just don't claim that its what I think.  Fair enough?
"
1216,1,"Then get a job and buy your own pool crybaby loser.
"
1233,1,"""""Hateful package""""  What exactly does that mean?
"
1234,1,"I do like it when you have the bells to give an honest answer, even if you feign irritation.  But the Presidents sobriety isn't the only thing I like.  At the top of the list, he isn't Hillary.  He is resolute, he does not want to fundamentally change America, he doesn't bow to his equals, he is working to undo things that hurt our economy, he wants to keep us safe, he chose Gorsuch for supreme court, he wants us to say Merry Christmas.  He is not a racist or a bigot or someone who want to feel women or a Nazi.  Those junk is the narrative of losers who are frustrated that their agenda has been halted.
"
1251,1,"It's always the same old same old for UH baseball ever since Trap took over. Usually a decent win-loss record for the home heavy, non-conference portion of the season, then when conference play starts it's around .500 record. His record in the old WAC, which was usually a weak, one NCAA bid conference was right around .500. Now that UH is in the more competitive Big West, his record is below .500. Since there's no talk of firing Trap I guess UH is content with mediocrity for the foreseeable future.
"
1261,1,"""""They represent us well with their thoughtful, clear responses to President Donald Trump and their strong stands against hateful white supremacist philosophies, policies and actions.""""  Remind me again what they said against ANTIFA...BLM...Black Panthers?
"
1263,1,"Tey anothet """"hes a really great, fun guy except  (insert alcoholism, cheating, porn, drugs, abuse....)  He isnt a great, fun guy, LW. Hes a lying, cheating, porn using alcoholic. Saying """"i love you"""" is easy. Acting loving is not. See a Dr, counselor, and lawyer. You are being gaslighted. (40 years together, your kids must be grown. You dont owe it to them to put up with this)
"
1294,1,"How dumb are they. They're trained and paid to perform for rich 1% whites. Like race horses.
"
1297,1,"I've made this same point repeatedly, and then when I add it must be because lesbian sex is a mainstay of male heterosexual porn, I get deleted.  LMAO
"
1334,1,"He was actually pretty mild in his criticism. Trump and his minions continue to call any news they don't like """"fake news"""" and call his lies """"facts"""". They call the investigation into Russia's meddling in our election a """"hoax"""".  I think it's pretty clear what is fake and what is real despite their fantasies.
"
1341,1,"The Tyrant is here and we are its Slaves.  Where is the negotiation our society promised?
"
1345,1,"Frederica  is a raging imbecile regardless of race.  Following her 'logic' her initial attack on Trump was 'racist'.  We have descended to abject, pathetic lunacy masquerading as politics.
"
1351,1,"You and the people who agree with you are a perfect example of the problem. You're still in denial over the incompetent, mentally unstable buffoon for whom you voted. The entire world can see Trump and his administration for what it is, but not Trump Bunnies. You not only have zero credibility but you are all dangerously self-centered and irresponsible.
"
1353,1,"Will the Globe editorial board stop buying dopey editorials?  .... only time will tell...
"
1367,1,"maybe if you knew anything about business you would know never to insult the owner/manager of an establishment or complain about public rights on private property I swear half you are just ignorant or that fricken stupid!
"
1382,1,"losers...
"
1387,1,"What happened to all the Racists/Lefties/Dems today????  Can't face the truth that their """"side"""" is basically the problem????  I'm glad that LE made arrests, as they should.  All these Antifa followers should be ID'd and readied for arrests.  Maybe congress should enact a new law to make it a felony to cause violence at any public venue or protest.  These unlawful people need to do some real hard time in prison.  Maybe Trump should give Sheriff Arpaio the job to look into these racists groups and pressure their lousy butts.  I bet he'll do one outstanding job, huh????
"
1413,1,"A lousy mayor and still a creep.
"
1438,1,"Maybe Hawaii needs a good kick in the pants?  But PNW Mike is correct.
"
1439,1,"whatever you say racist!
"
1452,1,"Is that what the call the apartment complex in Jordan? UNHCR camp..  You do realize what the 'U' in UN stands for - Useless!
"
1458,1,"You know President Trump made the right decision when the GOPe """"know-it-alls"""" condemn it.. Spicer was TOO stiff.. Scaramucci will shake things up.. I hope he pounds the crap out of the Vile Media and the Deep State Mueller investigation.. LOL
"
1470,1,"It can't remain a fact because it's not a fact. I think you mean """"counsel."""" That's the one that is a lawyer. This is a matter of inter-party policy. No illegal behavior is involved, as much as Repugs desperately need distractions right now. The right has become so ethically adrift, they don't even seem to be able to recognize what is illegal and what is not. You want an unnecessary investigation of the DNC, even as Repug congressmen are trying to halt the Mueller investigation. You embarrass yourself.
"
1489,1,"It's called probing your enemy. It's a way for Russia to gauge trump without soiling their own pathetic hands.  Bluff called.
"
1500,1,"Nice try at spinning.  Gervell is correct; if you don't like it, don't read it.  Also note: If the ADN were the liberal rag you proclaim it to be, most, if not all of the articles it has published that are crustal of Clinton and other Democrats, etc. would not have been published.  End note: You might consider the fact that your anti-vet, make-fun-of-those-with-disabilities, racist, bigoted, lying, cheating, criminal sexual predator candidate has--and had--only to shut his own mouth to avoid bad publicity.
"
1502,1,"""""All documented and on the record"""" and all taken wildly out of context. You forgot """"They're murderers, they're rapists"""".
"
1529,1,"Wheres the loudmouth clinton smartasses tonite?  Yea the smug know it alls.
"
1530,1,"Are you really that stupid or do you just crave the attention?
"
1531,1,"Last Patriot....  If you don't shoot to kill, and you're not trained to shoot to wound. Why do you shoot?  Enlighten us
"
1538,1,"Oh, come on.  She's got a popular voice and style.  She would have been a hit if she was an orphan.  You're being catty.  She certainly didn't become famous because of her boobs.  """"A misogynist is a man who hates women as much as they hate each other."""" - H.L. Mencken
"
1544,1,"RE: """" Liberals to spend $77.5-million on centre to study gender-based violence""""  Absolutely disgusting! No wonder Lie berals are worshiped in a pathetic nation of fools. Run out of stupid ideas to waste money on? No worries, just call Justin, Gerald or Kathleen, those morons will help you with brand new lows. UNBELIEVABLE!!, There ought to be a law preventing this malfeasance.
"
1550,1,"I believe that your post is the most ignorant and foolish compilation of nonsense ever composed.  Congratulations.
"
1557,1,"Trump Troll
"
1574,1,"The women is an IDIOT and if left in office she will destroy German identity.  She like many Germans still feeling guilty for what the Nazi's did to the Jews and they think that taking in Muslims by the hundreds of thousands will erase that guilt.  WRONG  most Germans alive today were not born when the Nazi's were killing Jews.
"
1577,1,"Very well done! Makes me proud to see UAF students continuing the tradition of ass-kicking at Steel Bridge. I have fond memories of long hours in that shop, as the not-so-fond memories have faded!
"
1579,1,"More useless opinions from the bright lights and lightweight wits from Canada. If Texas got a dollar for every dim comment from this country, they could finance a wall around all of North America.
"
1591,1,"oh save the ignorance loser,, these companies think in terms of decades ahead and they clearly see the value, that is how business works, better over your typical left wing nonsense
"
1605,1,"I'd like to know when the public can expect the new agency to actually start updating the equipment. They are going to have to use the equipment we already have for a long time to come. What will make it even worse, is our gov't will quit updating the equipment immediately to save money. Our ARTCC has one piece of equipment that is using DOS 3.1. Oh well, I guess I'll retire and start double dipping doing the same thing I do now. This is stupid but until they figure it out themselves, we'll do the best we can with what we have.
"
1613,1,"Our former PM is a criminal, who cares about defaming that incompetent and contemptuous fool.  The only thing is that Trudeau is just about as bad.  Canadians are truly fools.
"
1641,1,"Where are you getting this data from or are you just sucking it out of your thumb? """"Good chance"""", """"higher odds"""", """"success is always reported"""". Sounds like hearsay to me. If you want to make those sort of sweeping statements you need to pony up audited data before anyone is going to take you seriously....
"
1647,1,"You, snarge and gohang can join hands and sing """"we are the chumpions """"while  Chumpty Dumpty continues prevailing at being a fool!
"
1656,1,"hey lunatic lefty, here is the answer, we dont support and understand carbon taxes and pricing hurts our economy and jobs while doing nothing for the issue, time to let the market place and consumers work towards changes from fossils without taxing them out of business and jobs.. ,
"
1659,1,"Your last sentence is flat out untrue. Not all rules are good or useful or healthy. Being gay is no disqualification to be a good priest, regardless of any """"rule"""". The fact is that many in the hierarchy are gay.  If the Church actually got rid of all of its gay clergy, we would be left with very few.
"
1661,1,"You want to see losers?   Check out the footage of YOUR people destroying parts of D.C.
"
1677,1,"""""It’s more likely that this deceitful and amoral President believes that he benefits from the chaos and division sowed by neo-Nazis and white supremacists.""""  Correct. Has anyone heard anything about Russiagate recently?
"
1716,1,"I'll try again:  """"Islam made Mateen a killer the same way Christianity made Dear a killer. The one and only altar those men worshiped at was the altar of hate."""" Truer words were never spoken.  Now who could find that comment uncivil? Let's all guess......
"
1721,1,"These men need taken down hard before they murder someone else.
"
1740,1,"But we have. Republicans had no problem with mother Russia supporting them. lol  Just love the hypocrisy of republicans.
"
1755,1,"Batsh*t crazy is no way to run a country. Donald Trump is the epitome of this.
"
1764,1,"Ignore the troll.
"
1767,1,"To die doing what you love is fine if you have no family, no friends, no debt and no responsibilities.  If you have any of those things in your life then your attitude of tempting fate is way more than just fun, it is arrogant and selfish!  Accidents happen, but to play Russian Roulette intentionally, without regard to the aftermath, is in my opinion pretty stupid and selfish.
"
1775,1,"I wish people would do some research. It is totally ridiculous to associate  CHL/LTC Texans, who are extremely  law abiding according to DPS statistics, to these mass murderers. Stop lumping them together.  It makes no sense.
"
1780,1,"What a mess of an article.  Show me a stat that hate crimes are """"soaring"""".  This isn't 1950's Mississippi anymore.        I'm not saying hater crimes don't exist, or that black people don't face adversity, but to claim we're falling back into a race war dark wage is stupid. I'm not going to defend Trump statements, but the insinuation that his administration is anti-semetic is ridiculous.  His own daughter married a Jew and converted to it herself.
"
1791,1,"Right after both Clinton and Obama. 'You can keep your doctor...' screwed millions of Americans, and they are still getting screwed!
"
